id,channel_id,counter_edge_id,from_node_id,to_node_id,balance,fee_base,fee_proportional,min_htlc,timelock,is_closed,tot_flows
45380,22690,45381,993,4414,197611596,1000,1,1,40,0,10
45381,22690,45380,4414,993,2302388404,2000,1061,1000,40,0,4
45382,22691,45383,2,3449,76157765,0,1000,1000,18,0,16
45383,22691,45382,3449,2,4923842235,1000,35,1000,40,0,22
45384,22692,45385,4346,1524,18996965,2000,704,1000,40,0,0
45385,22692,45384,1524,4346,2481003035,0,50,1000,40,0,0
45386,22693,45387,3482,227,398019691,1000,35,1000,40,0,14
45387,22693,45386,227,3482,4601980309,0,0,1000,29,0,3
45388,22694,45389,87,3449,465662552,1,48,1000,16,0,5
45389,22694,45388,3449,87,4534337448,1000,35,1000,40,0,4
45390,22695,45391,4414,10,31382706,2000,257,1000,40,0,2
45391,22695,45390,10,4414,2468617294,1000,1,1000,40,0,3
45392,22696,45393,3232,4346,168352290,1000,1,1000,40,0,5
45393,22696,45392,4346,3232,2331647710,2000,453,1000,40,0,0
45394,22697,45395,346,2450,1596257143,1,1,1000,144,0,13
45395,22697,45394,2450,346,14403742857,1000,1,1000,40,0,12
45396,22698,45397,1475,3334,128951329,1,1,1000,144,0,0
45397,22698,45396,3334,1475,2814473671,1000,700,1000,40,0,0
45398,22699,45399,276,3187,100792399,92,550,1000,42,0,1
45399,22699,45398,3187,276,1639906601,92,550,1000,40,0,1
45400,22700,45401,2164,2687,446665737,1000,1,1000,40,0,0
45401,22700,45400,2687,2164,9365772263,1000,10,1000,144,0,0
45402,22701,45403,2,4020,113508658,0,1000,1000,18,0,15
45403,22701,45402,4020,2,1886491342,1000,1,1000,40,0,29
45404,22702,45405,4526,2761,2329008,1000,1,1000,40,0,22
45405,22702,45404,2761,4526,17670992,1000,1,1,40,0,93
45406,22703,45407,54,4526,1980446,1000,1,1000,40,0,24
45407,22703,45406,4526,54,18019554,1000,1,1000,40,0,33
45408,22704,45409,3843,4580,2268649,1000,1,1000,40,0,0
45409,22704,45408,4580,3843,72731351,0,1000,1000,144,0,0
45410,22705,45411,2520,3627,304001821,1000,1,1000,40,0,6
45411,22705,45410,3627,2520,3695998179,0,150,1000,40,0,2
45412,22706,45413,54,4020,54961741,1000,1,1000,40,0,34
45413,22706,45412,4020,54,1245038259,1000,1,1000,40,0,19
45414,22707,45415,2450,17,379924004,1000,1,1000,40,0,6
45415,22707,45414,17,2450,16620075996,1000,1,1000,40,0,16
45416,22708,45417,1088,3543,64648469,1000,1,1000,40,0,13
45417,22708,45416,3543,1088,2435351531,1000,100,1000,40,0,11
45418,22709,45419,342,4593,176951382,1,1,1000,144,0,0
45419,22709,45418,4593,342,9823048618,1000,1,1000,40,0,0
45420,22710,45421,160,4596,1615160,490,10,1,14,0,23
45421,22710,45420,4596,160,98384840,1000,40,1000,40,0,7
45422,22711,45423,4597,194,4845413196,1000,500,1000,40,0,21
45423,22711,45422,194,4597,45069205804,1000,10,1,34,0,27
45424,22712,45425,3745,130,122225434,1000,100,1000,40,0,74
45425,22712,45424,130,3745,1877774566,1,256,1000,40,0,16
45426,22713,45427,4137,1436,422434965,1000,1,1000,40,0,1
45427,22713,45426,1436,4137,5077565035,1000,2500,1000,40,0,2
45428,22714,45429,4137,1642,84227887,1000,1,1000,40,0,3
45429,22714,45428,1642,4137,3415772113,420,420,1000,120,0,2
45430,22715,45431,4137,151,39666117,1000,1,1000,40,0,1
45431,22715,45430,151,4137,510333883,2,2,1,144,0,1
45432,22716,45433,4137,1436,727015681,1000,1,1000,40,0,0
45433,22716,45432,1436,4137,9272984319,1000,2500,1000,40,0,0
45434,22717,45435,4137,151,41060470,1000,1,1000,40,0,0
45435,22717,45434,151,4137,458939530,2,0,1,144,0,0
45436,22718,45437,3482,1642,103243631,1000,35,1000,40,0,4
45437,22718,45436,1642,3482,4896756369,420,420,1000,120,0,2
45438,22719,45439,4304,4552,638309868,1000,90,1000,40,0,0
45439,22719,45438,4552,4304,7361690132,5000,75,1000,40,0,4
45440,22720,45441,4137,130,2894905,1000,1,1000,40,0,0
45441,22720,45440,130,4137,1997105095,1,2,1000,40,0,0
45442,22721,45443,3482,1324,91501003,1000,35,1000,40,0,0
45443,22721,45442,1324,3482,4908498997,1000,1,1,40,0,0
45444,22722,45445,675,3637,48250408,0,100,1000,18,0,10
45445,22722,45444,3637,675,951749592,500,10,1000,40,0,0
45446,22723,45447,4598,660,20230033,1000,10,1,34,0,0
45447,22723,45446,660,4598,979769967,5000,500,1000,40,0,0
45448,22724,45449,3449,2450,620997465,1000,65,1000,40,0,2
45449,22724,45448,2450,3449,7379002535,1000,1,1000,40,0,0
45450,22725,45451,1987,177,3804180192,1337,7,1337,40,0,0
45451,22725,45450,177,1987,96195819808,1000,100,1000,144,0,0
45452,22726,45453,1685,4404,168435519,0,1,1000,144,0,2
45453,22726,45452,4404,1685,2831564481,1000,10,1,34,0,1
45454,22727,45455,2010,4586,16644469,41328,1,1,34,0,66
45455,22727,45454,4586,2010,983355531,1000,1,1000,40,0,24
45456,22728,45457,3488,1866,7770874,1000,1,1000,40,0,10
45457,22728,45456,1866,3488,692229126,1000,1,1000,40,0,1
45458,22729,45459,4591,151,15036906,989,1,1000,40,0,24
45459,22729,45458,151,4591,518963094,2,2,1,144,0,20
45460,22730,45461,4598,194,66322273,1000,10,0,34,0,2
45461,22730,45460,194,4598,933677727,1000,10,0,34,0,28
45462,22731,45463,1419,177,316544371,1000,1,1000,40,0,0
45463,22731,45462,177,1419,16460670629,1000,100,1,144,0,0
45464,22732,45465,4591,151,27953547,989,1,1000,40,0,0
45465,22732,45464,151,4591,472046453,2,0,1,144,0,0
45466,22733,45467,1685,4577,30835943,0,1,1000,144,0,0
45467,22733,45466,4577,1685,369164057,1000,190,1000,20,0,2
45468,22734,45469,130,2850,90233010,1,1,1000,40,0,0
45469,22734,45468,2850,130,1909766990,2,10,1000,40,0,0
45470,22735,45471,3855,3074,543307,1000,1,1000,40,0,0
45471,22735,45470,3074,3855,150350693,10,100,1000,420,0,5
45472,22736,45473,2241,4582,2192065,1000,1,1000,40,0,5
45473,22736,45472,4582,2241,47807935,1000,1,1000,40,0,13
45474,22737,45475,4599,1544,3712433,1000,1,1000,40,0,1
45475,22737,45474,1544,4599,46287567,1000,1,1000,40,0,14
45476,22738,45477,2241,4599,46722,1000,1,1000,40,0,26
45477,22738,45476,4599,2241,49953278,1000,1,1000,40,0,22
45478,22739,45479,40,231,53650214,1000,2400,1,40,0,3
45479,22739,45478,231,40,946349786,100,1,1000,144,0,5
45480,22740,45481,1940,3661,23285169,1000,100,1000,40,0,0
45481,22740,45480,3661,1940,476713831,1000,1,1000,40,0,0
45482,22741,45483,3297,3736,24516908,1000,1,1000,40,0,11
45483,22741,45482,3736,3297,475483092,1000,1,1000,40,0,28
45484,22742,45485,3297,227,11922496,1000,1,1000,40,0,0
45485,22742,45484,227,3297,138077504,0,0,1000,29,0,0
45486,22743,45487,3297,820,4557073,1000,1,1000,40,0,0
45487,22743,45486,820,3297,95442927,1000,1,1000,40,0,0
45488,22744,45489,4254,3661,1805716,1000,1,1000,40,0,0
45489,22744,45488,3661,4254,98194284,1000,1,1000,40,0,0
45490,22745,45491,977,4583,50665414,849,489,1000,40,0,42
45491,22745,45490,4583,977,4949334586,500,1,1000,40,0,57
45492,22746,45493,4240,177,13204481,1000,1,1000,40,0,25
45493,22746,45492,177,4240,131796519,1000,100,1,144,0,26
